"12596","San Estanislao"
"12418","Bugalagrande"
"12332","Ansermanuevo"
"12320","Dagua"
"12306","Puerto Rico"
"12170","Amaga"
"12072","El Bordo"
"11829","Santa Fe de Antioquia"
"11817","Sitionuevo"
"11755","Neira"
"11727","Polonuevo"
"11720","Armero-Guyabal"
"11610","San Antero"
"11548","Dabeiba"
"11489","San Pedro"
"11457","Chivolo"
"11427","Candelaria"
"11310","Venadillo"
"11306","Pelaya"
"11291","Sabana de Torres"
"11267","Cimitarra"
"11265","San Vicente de Chucuri"
"11263","Cumaral"
"11221","Ponedera"
"11217","Natagaima"
"11158","Junin"
"11158","Marsella"
"11139","Majagual"
"11102","Garagoa"
"11095","San Pedro de Uraba"
"11064","La Victoria"
"11000","Gaitania"
"10945","Soata"
"10905","Velez"
"10895","Quinchia"
"10875","Agua de Dios"
"10846","Purificacion"
"10835","Necocli"
"10825","San Juan de Uraba"
"10822","Abrego"
"10792","Algeciras"
"10769","Ituango"
"10652","Valencia"
"10627","San Alberto"
"10604","Santa Rosa"
"10480","Pailitas"
"10401","Sandona"
"10381","Suan"
"10235","Tocaima"
"10235","Turbana"
"10216","Puerto Carreno"
"10191","Santa Rosa de Osos"
"10175","La Calera"
"10095","Tado"
"10042","Algarrobo"
"10011","Donmatias"
"9985","Suarez"
"9969","Valle del Guamuez"
"9950","Arauquita"
"9897","Condoto"
"9896","Palermo"
"9887","Coello"
"9863","Puerto Salgar"
"9829","Gigante"
"9820","Olaya Herrera"
"9785","Moniquira"
"9733","Amalfi"
"9709","Planadas"
"9703","Manaure"
"9667","Chinacota"
"9618","Vegachi"
"9565","Zambrano"
"9545","Restrepo"
"9539","Curillo"
"9481","San Agustin"
"9459","Galeras"
"9458","Sibundoy"
"9327","Aranzazu"
"9324","Concordia"
"9309","Cajamarca"
"9237","Saldana"
"9236","Riofrio"
"9224","Mahates"
"9180","Calamar"
"9146","Usiacuri"
"9135","Alcala"
"9098","Puerto Leguizamo"
"9092","San Juan de Betulia"
"9075","Pueblo Nuevo"
"9070","Villa Rica"
"9016","Guamal"
"9002","Becerril"
"8995","Astrea"
"8967","San Bernardo del Viento"
"8950","Fredonia"
"8949","Lebrija"
"8904","Santa Rosa del Sur"
"8801","San Pedro"
"8775","Clemencia"
"8751","La Cruz"
"8655","Juan de Acosta"
"8603","Frontino"
"8509","Urumita"
"8476","San Antonio"
"8434","Achi"
"8396","Sopo"
"8380","Arboletes"
"8362","Yotoco"
"8361","La Union"
"8308","Remolino"
"8260","Tolu Viejo"
"8237","Silvania"
"8218","Pacora"
"8204","Cisneros"
"8203","Timana"
"8180","Tubara"
"8173","Pensilvania"
"8067","Soplaviento"
"8044","Rivera"
"8014","San Diego"
"7977","Muzo"
"7964","Aipe"
"7958","Caqueza"
"7953","Manaure Balcon del Cesar"
"7942","El Dovio"
"7941","Retiro"
"7872","Sardinata"
"7865","Palestina"
"7759","Monterrey"
"7750","Jerico"
"7747","Jardin"
"7742","San Carlos"
"7662","Cicuco"
"7633","Barbacoas"
"7618","El Paujil"
"7615","Cota"
"7592","Choconta"
"7586","Cartagena del Chaira"
"7529","Cumbal"
"7519","Uribia"
"7516","Yondo"
"7511","Restrepo"
"7481","El Pinon"
"7474","Silvia"
"7360","Abejorral"
"7327","Gamarra"
"7298","Obando"
"7298","Inirida"
"7279","El Tambo"
"7245","San Rafael"
"7185","La Dorada"
